,Date,Tweet,retweet_PCT,likes_PCT
4,2021-10-31,Tuition is in Dogecoin &amp; u get a discount if u have a dog,12.797373358348969,10.763333171277164
5,2021-10-22,*In Dogecoin,2.4230271668822767,-0.01808886473265847
6,2021-07-13,"Maybe if it sees a Shiba Inu, the car renders a Dogecoin …",6.265267175572519,1.243972800329693
7,2021-05-26,"Please note Dogecoin has no formal organization &amp; no one reports to me, so my ability to take action is limited",21.142857142857142,6.908165737824086
8,2021-05-25,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha",4.2641931157800625,5.976103839678488
9,2021-04-01,SpaceX is going to put a literal Dogecoin on the literal moon,445.7368421052632,152.78434225844003
10,2021-03-14,"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",-0.5920561773096336,-0.6874276443099908
11,2021-03-02,2022: Dogecoin is dumb,-0.848307375466598,-0.9205979523766868
12,2021-02-15,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",46.540462427745666,53.93660390395578
13,2021-02-10,"Bought some Dogecoin for lil X, so he can be a toddler hodler",131.27962085308056,58.91617513611615
14,2021-02-04,Dogecoin is the people’s crypto,5.5692833679694305,2.0793251477104873
15,2022-01-25,I will eat a happy meal on tv if accepts Dogecoin,-0.3085502724351511,-0.1489040243187546
16,2022-01-14,Tesla merch buyable with Dogecoin,132.66149870801033,30.449022016441464
